BPM,Person,Time,State
81.08,1,56865,Awake
80.97,1,56865,Awake
80.97,1,56865,Awake
83.22,1,56871,Awake
81.08,1,56871,Awake
76.82,1,56871,Awake
78.84,1,56878,Awake
78.84,1,56878,Awake
78.84,1,56878,Awake
73.08,1,56883,Asleep
80.97,1,56883,Awake
76.82,1,56883,Awake
81.08,1,56888,Awake
85.59,1,56888,Awake
88.24,1,56888,Awake
88.11,1,56888,Awake
85.59,1,56893,Awake
88.24,1,56893,Awake
73.08,1,56893,Asleep
85.59,1,56899,Awake
85.59,1,56899,Awake
80.97,1,56899,Awake
85.71,1,56899,Awake
73.08,1,56905,Asleep
85.59,1,56905,Awake
78.84,1,56905,Awake
85.59,1,56905,Awake
88.11,1,56910,Awake
85.59,1,56910,Awake
88.11,1,56910,Awake
76.82,1,56910,Awake
78.84,1,56915,Awake
76.82,1,56915,Awake
80.97,1,56926,Awake
83.22,1,56926,Awake
83.22,1,56926,Awake
74.91,1,56932,Asleep
83.22,1,56932,Awake
83.22,1,56938,Awake
76.82,1,56938,Awake
83.22,1,56938,Awake
78.84,1,56944,Awake
88.11,1,56944,Awake
80.97,1,56944,Awake
85.59,1,56949,Awake
80.97,1,56949,Awake
78.84,1,56949,Awake
88.24,1,56949,Awake
83.22,1,56955,Awake
85.59,1,56955,Awake
83.33,1,56955,Awake
76.82,1,56960,Awake
83.22,1,56960,Awake
78.95,1,56960,Awake
80.97,1,56960,Awake
85.59,1,56965,Awake
78.84,1,56965,Awake
85.59,1,56965,Awake
83.22,1,56982,Awake
88.24,1,56982,Awake
80.97,1,56987,Awake
83.22,1,56987,Awake
78.84,1,57022,Awake
83.22,1,57022,Awake
78.84,1,57027,Awake
80.97,1,57027,Awake
85.59,1,57033,Awake
81.08,1,57033,Awake
80.97,1,57033,Awake
85.59,1,57038,Awake
88.11,1,57038,Awake
78.84,1,57038,Awake
80.97,1,57044,Awake
81.08,1,57044,Awake
85.59,1,57049,Awake
83.22,1,57049,Awake
90.77,1,57049,Awake
83.22,1,57049,Awake
88.24,1,57055,Awake
85.59,1,57055,Awake
74.91,1,57055,Asleep
78.84,1,57055,Awake
80.97,1,57061,Awake
76.82,1,57061,Awake
88.11,1,57061,Awake
78.84,1,57066,Awake
76.82,1,57066,Awake
78.84,1,57066,Awake
74.91,1,57066,Asleep
80.97,1,57071,Awake
85.59,1,57071,Awake
78.84,1,57071,Awake
85.59,1,57076,Awake
76.82,1,57076,Awake
61.16,1,57076,Asleep
80.97,1,57082,Awake
80.97,1,57088,Awake
80.97,1,57088,Awake
83.22,1,57088,Awake
78.84,1,57088,Awake
81.08,1,57093,Awake
78.84,1,57093,Awake
80.97,1,57093,Awake
81.08,1,57098,Awake
80.97,1,57098,Awake
78.84,1,57098,Awake
74.91,1,57098,Asleep
80.97,1,57103,Awake
80.97,1,57103,Awake
78.84,1,57103,Awake
83.22,1,57108,Awake
76.82,1,57108,Awake
81.08,1,57108,Awake
83.22,1,57108,Awake
88.11,1,57114,Awake
80.97,1,57114,Awake
78.84,1,57114,Awake
85.59,1,57119,Awake
74.91,1,57119,Asleep
78.84,1,57119,Awake
76.82,1,57119,Awake
80.97,1,57124,Awake
78.84,1,57124,Awake
78.84,1,57124,Awake
80.97,1,57129,Awake
78.84,1,57129,Awake
83.22,1,57129,Awake
81.08,1,57129,Awake
76.82,1,57134,Awake
80.97,1,57134,Awake
83.33,1,57139,Awake
76.82,1,57139,Awake
65.15,1,57139,Asleep
83.22,1,57144,Awake
78.84,1,57144,Awake
83.22,1,57144,Awake
85.59,1,57149,Awake
75.0,1,57149,Asleep
88.11,1,57149,Awake
88.11,1,57154,Awake
80.97,1,57154,Awake
83.22,1,57154,Awake
83.22,1,57160,Awake
85.59,1,57160,Awake
69.69,1,57160,Asleep
80.97,1,57160,Awake
85.59,1,57165,Awake
73.08,1,57165,Asleep
78.84,1,57180,Awake
85.71,1,57180,Awake
78.84,1,57185,Awake
78.84,1,57185,Awake
80.97,1,57185,Awake
76.82,1,57190,Awake
83.33,1,57190,Awake
85.59,1,57190,Awake
88.11,1,57190,Awake
88.11,1,57196,Awake
83.33,1,57196,Awake
76.82,1,57196,Awake
76.82,1,57201,Awake
78.84,1,57201,Awake
74.91,1,57201,Asleep
80.97,1,57206,Awake
78.84,1,57206,Awake
76.92,1,57206,Awake
85.59,1,57206,Awake
85.59,1,57211,Awake
85.59,1,57211,Awake
80.97,1,57211,Awake
85.71,1,57211,Awake
88.11,1,57217,Awake
78.84,1,57217,Awake
78.84,1,57217,Awake
69.69,1,57222,Asleep
76.82,1,57222,Awake
85.71,1,57222,Awake
80.97,1,57222,Awake
78.84,1,57227,Awake
83.22,1,57227,Awake
74.91,1,57227,Asleep
83.22,1,57232,Awake
78.84,1,57232,Awake
78.84,1,57232,Awake
80.97,1,57232,Awake
80.97,1,57237,Awake
76.82,1,57237,Awake
85.59,1,57237,Awake
83.33,1,57242,Awake
76.82,1,57242,Awake
78.84,1,57255,Awake
80.97,1,57261,Awake
78.84,1,57261,Awake
78.84,1,57277,Awake
78.95,1,57277,Awake
80.97,1,57277,Awake
83.22,1,57277,Awake
81.08,1,57282,Awake
85.59,1,57282,Awake
80.97,1,57282,Awake
80.97,1,57288,Awake
74.91,1,57288,Asleep
80.97,1,57288,Awake
85.59,1,57293,Awake
76.82,1,57293,Awake
80.97,1,57293,Awake
78.95,1,57293,Awake
80.97,1,57298,Awake
88.11,1,57298,Awake
81.08,1,57298,Awake
85.59,1,57298,Awake
85.59,1,57304,Awake
80.97,1,57304,Awake
85.71,1,57304,Awake
76.82,1,57309,Awake
80.97,1,57309,Awake
85.71,1,57309,Awake
76.82,1,57309,Awake
85.59,1,57314,Awake
90.77,1,57314,Awake
85.59,1,57314,Awake
83.22,1,57319,Awake
76.82,1,57325,Awake
80.97,1,57325,Awake
80.97,1,57331,Awake
78.84,1,57331,Awake
88.24,1,57336,Awake
80.97,1,57336,Awake
74.91,1,57336,Asleep
74.91,1,57341,Asleep
88.24,1,57341,Awake
83.22,1,57341,Awake
76.82,1,57341,Awake
83.22,1,57346,Awake
83.22,1,57359,Awake
83.33,1,57359,Awake
78.84,1,57364,Awake
83.22,1,57364,Awake
83.33,1,57364,Awake
80.97,1,57369,Awake
80.97,1,57369,Awake
76.92,1,57369,Awake
80.97,1,57369,Awake
80.97,1,57374,Awake
76.82,1,57374,Awake
78.84,1,57379,Awake
83.22,1,57379,Awake
76.82,1,57379,Awake
78.84,1,57385,Awake
76.82,1,57385,Awake
80.97,1,57390,Awake
78.84,1,57390,Awake
80.97,1,57390,Awake
83.22,1,57390,Awake
78.84,1,57395,Awake
83.22,1,57395,Awake
81.08,1,57395,Awake
83.22,1,57400,Awake
90.77,1,57400,Awake
80.97,1,57400,Awake
78.84,1,57400,Awake
71.34,1,57406,Asleep
68.1,1,57406,Asleep
80.97,1,57406,Awake
76.82,1,57406,Awake
74.91,1,57411,Asleep
78.84,1,57416,Awake
76.92,1,57416,Awake
78.84,1,57416,Awake
83.22,1,57416,Awake
76.92,1,57421,Awake
80.97,1,57421,Awake
78.84,1,57421,Awake
80.97,1,57426,Awake
83.22,1,57426,Awake
85.59,1,57426,Awake
85.59,1,57432,Awake
71.34,1,57432,Asleep
73.08,1,57432,Asleep
73.08,1,57437,Asleep
72.99,1,57437,Asleep
76.82,1,57437,Awake
76.82,1,57443,Awake
73.08,1,57443,Asleep
78.84,1,57443,Awake
76.82,1,57443,Awake
74.91,1,57448,Asleep
76.82,1,57448,Awake
73.08,1,57448,Asleep
85.59,1,57453,Awake
80.97,1,57453,Awake
80.97,1,57453,Awake
88.11,1,57453,Awake
78.84,1,57459,Awake
76.92,1,57459,Awake
76.82,1,57459,Awake
80.97,1,57459,Awake
78.84,1,57464,Awake
88.24,1,57464,Awake
78.84,1,57469,Awake
88.24,1,57469,Awake
76.82,1,57469,Awake
71.34,1,57469,Asleep
78.95,1,57474,Awake
80.97,1,57474,Awake
81.08,1,57474,Awake
83.22,1,57479,Awake
75.0,1,57479,Asleep
80.97,1,57479,Awake
80.97,1,57479,Awake
76.82,1,57485,Awake
78.84,1,57485,Awake
76.82,1,57485,Awake
80.97,1,57490,Awake
78.95,1,57490,Awake
76.82,1,57490,Awake
83.22,1,57490,Awake
76.82,1,57495,Awake
83.33,1,57495,Awake
74.91,1,57495,Asleep
83.22,1,57500,Awake
80.97,1,57500,Awake
80.97,1,57500,Awake
80.97,1,57500,Awake
73.08,1,57506,Asleep
81.08,1,57506,Awake
80.97,1,57506,Awake
71.34,1,57506,Asleep
85.71,1,57511,Awake
80.97,1,57511,Awake
73.08,1,57511,Asleep
76.82,1,57516,Awake
76.82,1,57516,Awake
81.08,1,57516,Awake
76.82,1,57516,Awake
76.82,1,57521,Awake
78.84,1,57545,Awake
80.97,1,57545,Awake
83.22,1,57545,Awake
80.97,1,57550,Awake
85.59,1,57550,Awake
80.97,1,57550,Awake
78.84,1,57555,Awake
80.97,1,57555,Awake
73.08,1,57555,Asleep
54.5,1,58955,Asleep
56.55,1,59088,Asleep
83.22,1,59131,Awake
80.97,1,59131,Awake
76.82,1,59131,Awake
76.82,1,59136,Awake
74.81,1,59136,Asleep
76.82,1,59136,Awake
83.22,1,59142,Awake
78.84,1,59142,Awake
83.22,1,59142,Awake
76.82,1,59142,Awake
85.59,1,59147,Awake
80.97,1,59147,Awake
76.82,1,59147,Awake
74.91,1,59152,Asleep
76.82,1,59152,Awake
73.08,1,59152,Asleep
78.84,1,59152,Awake
71.34,1,59158,Asleep
78.84,1,59158,Awake
78.84,1,59158,Awake
72.99,1,59163,Asleep
74.91,1,59163,Asleep
74.91,1,59163,Asleep
80.97,1,59163,Awake
78.84,1,59169,Awake
81.08,1,59169,Awake
80.97,1,59169,Awake
85.59,1,59174,Awake
78.84,1,59174,Awake
76.82,1,59174,Awake
78.84,1,59174,Awake
85.59,1,59179,Awake
83.22,1,59179,Awake
76.82,1,59179,Awake
80.97,1,59184,Awake
80.97,1,59184,Awake
85.59,1,59184,Awake
83.22,1,59184,Awake
78.84,1,59189,Awake
83.22,1,59189,Awake
80.97,1,59189,Awake
80.97,1,59194,Awake
83.22,1,59194,Awake
78.84,1,59194,Awake
76.82,1,59194,Awake
76.82,1,59199,Awake
74.91,1,59199,Asleep
83.22,1,59199,Awake
68.1,1,59205,Asleep
80.97,1,59205,Awake
80.97,1,59205,Awake
80.97,1,59205,Awake
80.97,1,59211,Awake
76.82,1,59211,Awake
73.08,1,59211,Asleep
78.84,1,59216,Awake
80.97,1,59216,Awake
78.84,1,59216,Awake
78.84,1,59222,Awake
80.86,1,59222,Awake
83.22,1,59222,Awake
83.22,1,59222,Awake
85.59,1,59227,Awake
90.77,1,59227,Awake
83.22,1,59227,Awake
73.08,1,59227,Asleep
85.59,1,59232,Awake
76.82,1,59232,Awake
83.22,1,59238,Awake
76.82,1,59238,Awake
78.84,1,59238,Awake
68.03,1,59243,Asleep
73.08,1,59243,Asleep
73.08,1,59243,Asleep
73.08,1,59243,Asleep
69.69,1,59249,Asleep
76.82,1,59249,Awake
80.97,1,59249,Awake
85.59,1,59254,Awake
65.15,1,59254,Asleep
56.5,1,59254,Asleep
56.55,1,59254,Asleep
71.34,1,59260,Asleep
61.1,1,59260,Asleep
71.34,1,59260,Asleep
73.08,1,59265,Asleep
65.08,1,59265,Asleep
71.34,1,59265,Asleep
71.34,1,59270,Asleep
73.08,1,59270,Asleep
78.84,1,59270,Awake
76.82,1,59276,Awake
73.08,1,59276,Asleep
74.91,1,59276,Asleep
80.97,1,59276,Awake
83.22,1,59281,Awake
74.91,1,59281,Asleep
83.22,1,59281,Awake
85.59,1,59286,Awake
88.11,1,59286,Awake
83.22,1,59286,Awake
72.99,1,59286,Asleep
90.77,1,59291,Awake
76.82,1,59291,Awake
78.84,1,59291,Awake
78.84,1,59297,Awake
78.84,1,59297,Awake
66.59,1,59297,Asleep
76.82,1,59297,Awake
80.97,1,59302,Awake
76.82,1,59302,Awake
88.11,1,59302,Awake
85.59,1,59302,Awake
76.82,1,59308,Awake
85.71,1,59308,Awake
69.69,1,59308,Asleep
68.1,1,59313,Asleep
76.82,1,59313,Awake
71.34,1,59313,Asleep
73.08,1,59313,Asleep
